9.667606735229492543e-01;3.323932443140985987e-02
9.656047248840331498e-01;3.439527571577932069e-02
9.667555058002471613e-01;3.324449626796353863e-02
9.667439556121826261e-01;3.325604145393126071e-02
9.667620062828063965e-01;3.323799443755404842e-02
9.667541551589965421e-01;3.324584297559869672e-02
9.667571496963500710e-01;3.324284979690870362e-02
9.667419469356537398e-01;3.325804926013053303e-02
9.667242670059204013e-01;3.327573258723640071e-02
7.054687546798960041e-02;9.294531440734863370e-01
1.069276528805494370e-01;8.930723512172699108e-01
5.564727824326837213e-02;9.443527209758758589e-01
9.198189375922083411e-02;9.080181074142456010e-01
5.428859100613266098e-02;9.457114124298096058e-01
