9.907113170623779164e-01;9.288682998641713956e-03
9.907112789154052246e-01;9.288721343562988605e-03
9.907078814506530273e-01;9.292121995481567379e-03
9.907122921943664062e-01;9.287711613688156426e-03
9.907123088836670144e-01;9.287694695842015069e-03
9.905914521217346058e-01;9.408543911448533081e-03
5.272992006395701425e-01;4.727007970165720829e-01
9.906858849525451705e-01;9.314112245193371942e-03
9.128086453676224066e-01;8.719135797116905895e-02
5.344353819430915781e-02;9.465564638376235962e-01
1.951487919588901221e-02;9.804851222038268865e-01
1.984415716568037336e-02;9.801558458805084140e-01
1.952646952450834417e-02;9.804735291004180731e-01
1.951652296262310418e-02;9.804834818840026944e-01
